result_code,PRMS Result Code,Year,PRMS Short Title,Type,Result Status,Top 10 Innovations,In PRMS (for Top 10),Innovation Short Name,Cluster,Program,2025 ballpark USD investments - CG Bilaterals,2025 ballpark USD investments - Lead CG Science Program,2025 ballpark USD investments - Partner co-investment,2026 estimated pooled USD need for lead Science Program,2027 estimated pooled USD need for lead Science Program,input_text
10215,9600.0,2023.0,EU funds upscaling Livestock and Climate Initiative innovation joint village,Innovation use,Quality Assessed,,,,,,,,,,,EU funds upscaling Livestock and Climate Initiative innovation joint village
10369,9751.0,2023.0,Scaling sheep and goat community-based breeding in Ethiopia,Innovation use,Quality Assessed,,,,,,,,,,,Scaling sheep and goat community-based breeding in Ethiopia
10371,9753.0,2023.0,Climate resilience agro-advisories reached farmers in Zambia via video broadcasts.,Innovation use,Quality Assessed,,,,,,,,,,,Climate resilience agro-advisories reached farmers in Zambia via video broadcasts.
10438,9818.0,2023.0,Impact of CGIAR maize germplasm in Sub-Saharan Africa: 1995-2015 Maize,Innovation use,Quality Assessed,,,,,,,,,,,Impact of CGIAR maize germplasm in Sub-Saharan Africa: 1995-2015 Maize
10447,9827.0,2023.0,"Climate resilience agro-advisories reached 1.2 million farmers in Kenya, of",Innovation use,Quality Assessed,,,,,,,,,,,"Climate resilience agro-advisories reached 1.2 million farmers in Kenya, of"
10453,9833.0,2023.0,Two branches of the Ecumenical Church Loan Fund (ECLOF) use,Innovation use,Quality Assessed,True,Yes,Climate-credit risk scoring system for livestock production systems to guide adaptation finance in Eastern Africa,Sustainable Livestock Climate Adaptation,Climate Action,,,,,,Two branches of the Ecumenical Church Loan Fund (ECLOF) use
10480,9860.0,2023.0, Climate Smart Governance Dashboard: A Powerful Facilitation Tool for,Innovation use,Quality Assessed,,,,,,,,,,, Climate Smart Governance Dashboard: A Powerful Facilitation Tool for
10498,9878.0,2023.0,Multiscale polycentric governance framework used to implement locally led adaptation,Innovation use,Quality Assessed,,,,,,,,,,,Multiscale polycentric governance framework used to implement locally led adaptation
10531,9911.0,2023.0,Evaluating Banana Bunchy Top Disease [BBTD] Integrated Pest and Disease,Innovation development,Quality Assessed,,,,,,,,,,,Evaluating Banana Bunchy Top Disease [BBTD] Integrated Pest and Disease
10546,9926.0,2023.0,Global use of CIAT's Urochloa hybrids in cattle farming for,Innovation use,Quality Assessed,,,,,,,,,,,Global use of CIAT's Urochloa hybrids in cattle farming for
10560,3593.0,2023.0,Shwe Ngar (Golden Fish) App: a newly developed mobile App,Innovation use,Quality Assessed,,,,,,,,,,,Shwe Ngar (Golden Fish) App: a newly developed mobile App
10581,9960.0,2023.0,Farmer adoption of the Africa Asia Dairy Genetic Gains (AADGG),Innovation use,Quality Assessed,,,,,,,,,,,Farmer adoption of the Africa Asia Dairy Genetic Gains (AADGG)
10596,9975.0,2023.0,Leading Colombian retailer investing in sustainable livestock,Innovation use,Quality Assessed,,,,,,,,,,,Leading Colombian retailer investing in sustainable livestock
10641,10020.0,2023.0,PepsiCo adopted e-Agrology to monitor smallholder maize farmers' adoption of,Innovation use,Quality Assessed,,,,,,,,,,,PepsiCo adopted e-Agrology to monitor smallholder maize farmers' adoption of
10752,10129.0,2023.0,Facilitating Scale-Up of Orange-Fleshed Sweet Potato (OFSP) Flour and Puree,Innovation development,Quality Assessed,,,,,,,,,,,Facilitating Scale-Up of Orange-Fleshed Sweet Potato (OFSP) Flour and Puree
10908,10284.0,2023.0,Diffusion of maize seed for the food security of small,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of maize seed for the food security of small
10913,10289.0,2023.0,Diffusion of biofortified maize seed BioMZN01 to Arhuacas and Kankuamos,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of biofortified maize seed BioMZN01 to Arhuacas and Kankuamos
10915,10291.0,2023.0,Diffusion of biofortified bean seed Agrosavia Rojo 43 to Arhuacas,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of biofortified bean seed Agrosavia Rojo 43 to Arhuacas
10918,10294.0,2023.0,Diffusion of biofortified maize seed BioMZn01 to communities in the,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of biofortified maize seed BioMZn01 to communities in the
10921,10297.0,2023.0,Diffusion of ICTA Hunapu and ICTA Super Chiva bean seed,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of ICTA Hunapu and ICTA Super Chiva bean seed
10923,10299.0,2023.0,Diffusion of ICTA Hunapu bean seed to producers in the,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of ICTA Hunapu bean seed to producers in the
10930,10306.0,2023.0,Diffusion of ICTA Hunapu bean seed to producers in the,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of ICTA Hunapu bean seed to producers in the
10931,10307.0,2023.0,Diffusion of certified biofortified maize seed BIO-MZn01 to producers in,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified biofortified maize seed BIO-MZn01 to producers in
10933,10309.0,2023.0,Diffusion of certified biofortified maize seed BIO-MZn01 to producers in,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified biofortified maize seed BIO-MZn01 to producers in
10935,10311.0,2023.0,Diffusion of certified biofortified maize seed BIO-MZn01 to producers in,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified biofortified maize seed BIO-MZn01 to producers in
10937,10313.0,2023.0,Diffusion of certified ICTA bean seed to producers in Hunapu,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified ICTA bean seed to producers in Hunapu
10940,10316.0,2023.0,Diffusion of certified ICTA Hunapu bean seed to producers in,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified ICTA Hunapu bean seed to producers in
10942,10318.0,2023.0,Diffusion of certified ICTA Hunapu bean seed to producers in,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified ICTA Hunapu bean seed to producers in
10944,10320.0,2023.0,Diffusion of certified biofortified maize Bio MZn01 and bean seeds,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified biofortified maize Bio MZn01 and bean seeds
10945,10321.0,2023.0,Diffusion of certified Tuxpeño corn seed to producers in Copan,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified Tuxpeño corn seed to producers in Copan
10946,10322.0,2023.0,Diffusion of certified biofortified maize seed BIO MZn01 to producers,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified biofortified maize seed BIO MZn01 to producers
10947,10323.0,2023.0,Diffusion of certified biofortified maize seed BIO MZn01 to producers,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified biofortified maize seed BIO MZn01 to producers
10948,10324.0,2023.0,Diffusion of certified biofortified maize seed BIOMzn01 to producers in,Innovation use,Quality Assessed,,,,,,,,,,,Diffusion of certified biofortified maize seed BIOMzn01 to producers in
10957,10333.0,2023.0,Living Labs for People as innovation and knowledge co-production space,Innovation use,Quality Assessed,,,,,,,,,,,Living Labs for People as innovation and knowledge co-production space
10991,10367.0,2023.0,Agronomic Key Performance Indicator Assessment framework used for stage gating,Innovation use,Quality Assessed,,,,,,,,,,,Agronomic Key Performance Indicator Assessment framework used for stage gating
11043,10418.0,2023.0,Farm Radio International uses artificial intelligence-based tools to gather feedback,Innovation use,Quality Assessed,,,,,,,,,,,Farm Radio International uses artificial intelligence-based tools to gather feedback
11096,10471.0,2023.0,Digital Dojo: A suite of datasets and modeling tools that,Innovation development,Quality Assessed,,,,,,,,,,,Digital Dojo: A suite of datasets and modeling tools that
11105,10480.0,2023.0,Best management practices for commercial tilapia reproduction in Northeast Africa,Innovation development,Quality Assessed,,,,,,,,,,,Best management practices for commercial tilapia reproduction in Northeast Africa
11117,10492.0,2023.0,A rapid and scalable rice blast diagnostic tool - Timely,Innovation development,Quality Assessed,,,,,,,,,,,A rapid and scalable rice blast diagnostic tool - Timely
11118,10493.0,2023.0,Digital climate and agro-advisory platform (with risk financing mechanim),Innovation development,Quality Assessed,,,,,,,,,,,Digital climate and agro-advisory platform (with risk financing mechanim)
11125,3554.0,2023.0,‘Macher Gari’ an innovative way to increase availability and accessibility,Innovation use,Quality Assessed,,,,,,,,,,,‘Macher Gari’ an innovative way to increase availability and accessibility
11136,10509.0,2023.0,Diagnostic tools validated by ICARDA’s Germplasm Health Unit (GHU) for,Innovation development,Quality Assessed,,,,,,,,,,,Diagnostic tools validated by ICARDA’s Germplasm Health Unit (GHU) for
11193,10566.0,2023.0,Use of climate services enhances adaptation in three states of,Innovation use,Quality Assessed,,,,,,,,,,,Use of climate services enhances adaptation in three states of
1125,1107.0,2022.0,Livestock 4 Climate Security Policy and Governance Toolkit: Ensuring Climate,Innovation development,Quality Assessed,,,,,,,,,,,Livestock 4 Climate Security Policy and Governance Toolkit: Ensuring Climate
11254,3445.0,2023.0,"Aflasafe, a biocontrol technology reducing aflatoxin in maize, groundnut, and",Innovation use,Quality Assessed,,,,,,,,,,,"Aflasafe, a biocontrol technology reducing aflatoxin in maize, groundnut, and"
1142,1124.0,2022.0,Healthy Eating Index for Vietnam developed for researchers and governments,Innovation development,Quality Assessed,,,,,,,,,,,Healthy Eating Index for Vietnam developed for researchers and governments
1149,1131.0,2022.0,Extended version of the Global Food System Sustainability Index:,Innovation development,Quality Assessed,,,,,,,,,,,Extended version of the Global Food System Sustainability Index:
11607,10978.0,2023.0,Farm Radio International applies for a grant from the Belgian,Innovation use,Quality Assessed,,,,,,,,,,,Farm Radio International applies for a grant from the Belgian
11674,11045.0,2023.0,Network partners implement optimized breeding schemes co-developed with CGIAR to,Innovation use,Quality Assessed,,,,,,,,,,,Network partners implement optimized breeding schemes co-developed with CGIAR to
1181,1163.0,2022.0,Rice -Varietal  Delivery/ Partnership Models,Innovation development,Quality Assessed,,,,,,,,,,,Rice -Varietal  Delivery/ Partnership Models
1184,1166.0,2022.0,"Rice-Varietal evaluation, selection and advancement",Innovation development,Quality Assessed,,,,,,,,,,,"Rice-Varietal evaluation, selection and advancement"
11877,11248.0,2023.0,"Fit-for-purpose, crop-wise genomic resources, processes, methods, and tools are available",Innovation development,Quality Assessed,,,,,,,,,,,"Fit-for-purpose, crop-wise genomic resources, processes, methods, and tools are available"
11882,11253.0,2023.0,Scalable implementation of marker-assisted breeding activities in breeding pipelines implemented,Innovation development,Quality Assessed,,,,,,,,,,,Scalable implementation of marker-assisted breeding activities in breeding pipelines implemented
11893,11264.0,2023.0,Eastern and Southern Africa (ESA) Regional Pigeonpea and Chickpea crop,Innovation development,Quality Assessed,,,,,,,,,,,Eastern and Southern Africa (ESA) Regional Pigeonpea and Chickpea crop
11931,11302.0,2023.0,Network partners modernize breeding approaches for Groundnut breeding programs in,Innovation use,Quality Assessed,,,,,,,,,,,Network partners modernize breeding approaches for Groundnut breeding programs in
12175,11546.0,2023.0,Innovation Package and Scaling Readiness Assessment for fish-based (ComFA+Fish) Products,Innovation Package,Quality Assessed,,,,,,,,,,,Innovation Package and Scaling Readiness Assessment for fish-based (ComFA+Fish) Products
12198,11568.0,2023.0,The CGIAR Global Market Intelligence Platform (GloMIP) providing priority setting,Innovation use,Quality Assessed,,,,,,,,,,,The CGIAR Global Market Intelligence Platform (GloMIP) providing priority setting
12350,11719.0,2023.0,Innovation Package and Scaling Readiness assessment for cassava peel as,Innovation Package,Quality Assessed,,,,,,,,,,,Innovation Package and Scaling Readiness assessment for cassava peel as
12364,11733.0,2023.0,Innovation Package and Scaling Readiness assessment for innovative strategies to,Innovation Package,Quality Assessed,True,Yes,"Innovative strategies to scale up inclusive business models for aquaculture in Zambia and Malawi, linking smallholder fish farmers with small and medium-sized enterprises (SMEs). ",Sustainable Aquaculture and Fisheries Management,Sustainable Animal and Aquatic Foods ,,,,,,Innovation Package and Scaling Readiness assessment for innovative strategies to
12477,11846.0,2023.0,Innovation Package and Scaling Readiness assessment for varscout - digital,Innovation Package,Quality Assessed,,,,,,,,,,,Innovation Package and Scaling Readiness assessment for varscout - digital
12485,11854.0,2023.0,Innovation Package and Scaling Readiness assessment for climate-credit risk scoring,Innovation Package,Quality Assessed,,,,,,,,,,,Innovation Package and Scaling Readiness assessment for climate-credit risk scoring
12495,11864.0,2023.0,Innovation Package and Scaling Readiness assessment for facilitating scale-up of,Innovation Package,Quality Assessed,,,,,,,,,,,Innovation Package and Scaling Readiness assessment for facilitating scale-up of
12593,11962.0,2024.0,Principal Component Analysis methodology used by governments to identify critical,Innovation development,Quality Assessed,,,,,,,,,,,Principal Component Analysis methodology used by governments to identify critical
12594,11963.0,2024.0,Groundwater management information system supporting sustainable water resource decisions and,Innovation development,Quality Assessed,,,,,,,,,,,Groundwater management information system supporting sustainable water resource decisions and
1261,1243.0,2022.0,Impacts Dashboard for Genetic Innovation v2.0,Innovation development,Quality Assessed,,,,,,,,,,,Impacts Dashboard for Genetic Innovation v2.0
12613,9018.0,2024.0,"Designing Evidence-Based Models for Central Highlands Ecoregion Foodscape, Enhancing Soil",Innovation development,Quality Assessed,,,,,,,,,,,"Designing Evidence-Based Models for Central Highlands Ecoregion Foodscape, Enhancing Soil"
12616,17.0,2024.0,Yam breeding network in Africa addresses breeding challenges to develop,Innovation development,Quality Assessed,,,,,,,,,,,Yam breeding network in Africa addresses breeding challenges to develop
12617,28.0,2024.0,"International wheat breeding networks accelerate genetic gains for climate-resilient, nutritious,",Innovation development,Quality Assessed,,,,,,,,,,,"International wheat breeding networks accelerate genetic gains for climate-resilient, nutritious,"
12618,30.0,2024.0,"Bread wheat breeding network accelerates genetic gains for high-yielding, climate-resilient",Innovation development,Quality Assessed,,,,,,,,,,,"Bread wheat breeding network accelerates genetic gains for high-yielding, climate-resilient"
12619,31.0,2024.0,"Durum wheat breeding network accelerates genetic gains for more productive,",Innovation development,Quality Assessed,,,,,,,,,,,"Durum wheat breeding network accelerates genetic gains for more productive,"
12620,32.0,2024.0,West and Central African maize breeding network accelerates genetic gains,Innovation development,Quality Assessed,,,,,,,,,,,West and Central African maize breeding network accelerates genetic gains
12621,33.0,2024.0,Maize breeding networks involving 30+ partners in Latin America use,Innovation development,Quality Assessed,,,,,,,,,,,Maize breeding networks involving 30+ partners in Latin America use
12622,34.0,2024.0,Maize breeding networks in Eastern Africa use cutting-edge tools and,Innovation development,Quality Assessed,,,,,,,,,,,Maize breeding networks in Eastern Africa use cutting-edge tools and
12623,35.0,2024.0,Maize breeding networks in Southern Africa use cutting-edge breeding tools,Innovation development,Quality Assessed,,,,,,,,,,,Maize breeding networks in Southern Africa use cutting-edge breeding tools
12624,36.0,2024.0,Maize breeding networks involving 60+ partners in South Asia accelerate,Innovation development,Quality Assessed,,,,,,,,,,,Maize breeding networks involving 60+ partners in South Asia accelerate
12625,37.0,2024.0,Bean breeding networks in Africa accelerate genetic gains for biofortified,Innovation development,Quality Assessed,,,,,,,,,,,Bean breeding networks in Africa accelerate genetic gains for biofortified
12626,38.0,2024.0,Soybean breeding network for Africa accelerates genetic gains for more,Innovation development,Quality Assessed,,,,,,,,,,,Soybean breeding network for Africa accelerates genetic gains for more
12627,39.0,2024.0,Partner-led rice breeding network in Latin America exchanges experiences and,Innovation development,Quality Assessed,,,,,,,,,,,Partner-led rice breeding network in Latin America exchanges experiences and
12628,40.0,2024.0,Rice breeding in Africa blends indigenous germplasm and modern breeding,Innovation development,Quality Assessed,,,,,,,,,,,Rice breeding in Africa blends indigenous germplasm and modern breeding
12629,41.0,2024.0,Rice breeding network in Eastern and Southern Africa accelerates genetic,Innovation development,Quality Assessed,,,,,,,,,,,Rice breeding network in Eastern and Southern Africa accelerates genetic
12630,42.0,2024.0,Rice breeding networks in Southeast Asia accelerate genetic gains for,Innovation development,Quality Assessed,,,,,,,,,,,Rice breeding networks in Southeast Asia accelerate genetic gains for
12631,43.0,2024.0,Rice breeding networks in South Asia accelerate genetic gains for,Innovation development,Quality Assessed,,,,,,,,,,,Rice breeding networks in South Asia accelerate genetic gains for
12632,44.0,2024.0,Sweetpotato breeding networks in Asia & Latin America accelerate genetic,Innovation development,Quality Assessed,,,,,,,,,,,Sweetpotato breeding networks in Asia & Latin America accelerate genetic
12633,45.0,2024.0,Sweetpotato breeding network in Southern Africa accelerates genetic gains for,Innovation development,Quality Assessed,,,,,,,,,,,Sweetpotato breeding network in Southern Africa accelerates genetic gains for
12634,46.0,2024.0,Sweetpotato breeding network in Eastern Africa accelerates genetic gains for,Innovation development,Quality Assessed,,,,,,,,,,,Sweetpotato breeding network in Eastern Africa accelerates genetic gains for
12635,47.0,2024.0,Potato breeding networks in Africa use citizen science to inform,Innovation development,Quality Assessed,,,,,,,,,,,Potato breeding networks in Africa use citizen science to inform
12636,48.0,2024.0,A public-partnership accelerates genetic gains for early-maturing highly marketable potatoes,Innovation development,Quality Assessed,,,,,,,,,,,A public-partnership accelerates genetic gains for early-maturing highly marketable potatoes
12638,53.0,2024.0,Faba bean breeding networks in northern and eastern Africa and,Innovation development,Quality Assessed,,,,,,,,,,,Faba bean breeding networks in northern and eastern Africa and
12639,54.0,2024.0,Barley breeding networks accelerate genetic gains for climate-resilient and nutritious,Innovation development,Quality Assessed,,,,,,,,,,,Barley breeding networks accelerate genetic gains for climate-resilient and nutritious
12640,55.0,2024.0,"Grasspea breeding network accelerates genetic gains for more productive, low-neurotoxin",Innovation development,Quality Assessed,,,,,,,,,,,"Grasspea breeding network accelerates genetic gains for more productive, low-neurotoxin"
12641,56.0,2024.0,"Lentil breeding network accelerates genetic gains for more climate resilient,",Innovation development,Quality Assessed,,,,,,,,,,,"Lentil breeding network accelerates genetic gains for more climate resilient,"
12642,57.0,2024.0,Chickpea breeding network accelerates genetic gains for heat and disease-resistant,Innovation development,Quality Assessed,,,,,,,,,,,Chickpea breeding network accelerates genetic gains for heat and disease-resistant
12643,58.0,2024.0,Cowpea breeding network in Africa accelerates genetic gains for more,Innovation development,Quality Assessed,,,,,,,,,,,Cowpea breeding network in Africa accelerates genetic gains for more
12644,59.0,2024.0,Cassava breeding networks targeted at African smallholders accelerate genetic gains,Innovation development,Quality Assessed,,,,,,,,,,,Cassava breeding networks targeted at African smallholders accelerate genetic gains
12645,60.0,2024.0,"Forage breeding partnerships between eastern and southern Africa, and Latin",Innovation development,Quality Assessed,,,,,,,,,,,"Forage breeding partnerships between eastern and southern Africa, and Latin"
12646,61.0,2024.0,Banana and plantain breeding networks in Africa accelerate genetic gains,Innovation development,Quality Assessed,,,,,,,,,,,Banana and plantain breeding networks in Africa accelerate genetic gains
12647,62.0,2024.0,International cassava breeding networks accelerate genetic gains for cassava demanded,Innovation development,Quality Assessed,,,,,,,,,,,International cassava breeding networks accelerate genetic gains for cassava demanded
12648,104.0,2024.0," Enhanced biophysical and socioeconomic modeling tools to explore food,",Innovation development,Quality Assessed,True,Yes,International Model for Policy Analysis of Agricultural Commodities and Trade (IMPACT) modeling and data system.,Outliers/Independent,Policy Innovations,100000,227161,,327161,327161," Enhanced biophysical and socioeconomic modeling tools to explore food,"
12649,126.0,2024.0,A disaggregated water-energy-food systems model to study the economywide effects,Innovation development,Quality Assessed,,,,,,,,,,,A disaggregated water-energy-food systems model to study the economywide effects
12650,128.0,2024.0,"Transformative leadership program for Water, Energy, Food, Ecosystem (WEFE) nexus",Innovation development,Quality Assessed,,,,,,,,,,,"Transformative leadership program for Water, Energy, Food, Ecosystem (WEFE) nexus"
12651,168.0,2024.0,Circular Bioeconomy Innovation Hub in Ghana: A Multistakeholder Platform for,Innovation development,Quality Assessed,True,Yes,Circular Bioeconomy Innovation Hub in Ghana,Circular Bioeconomy Innovation Initiatives,Food Frontiers and Security,,40000,40000,100000,100000,Circular Bioeconomy Innovation Hub in Ghana: A Multistakeholder Platform for
12651,168.0,2024.0,Circular Bioeconomy Innovation Hub in Ghana: A Multistakeholder Platform for,Innovation development,Quality Assessed,True,Yes,Circular Bioeconomy Innovation Hubs,Circular Bioeconomy Innovation Initiatives,Food Frontiers and Security,,40000,,80000,90000,Circular Bioeconomy Innovation Hub in Ghana: A Multistakeholder Platform for
12652,188.0,2024.0,Tools and approaches to help breeders to optimize breeding schemes,Innovation development,Quality Assessed,,,,,,,,,,,Tools and approaches to help breeders to optimize breeding schemes
12654,255.0,2024.0,Technology and business model for mechanized rice straw management in,Innovation development,Quality Assessed,,,,,,,,,,,Technology and business model for mechanized rice straw management in
12655,256.0,2024.0,Climate-Smart Risk Maps and Adaptation Plans (CS-MAP) for Rice Production,Innovation development,Quality Assessed,,,,,,,,,,,Climate-Smart Risk Maps and Adaptation Plans (CS-MAP) for Rice Production
12656,273.0,2024.0,Video-based Product Concept Testing (VPCT) tool for market segmentation of,Innovation development,Quality Assessed,,,,,,,,,,,Video-based Product Concept Testing (VPCT) tool for market segmentation of
12657,274.0,2024.0,New publication series designed for quicker access to market intelligence,Innovation development,Quality Assessed,,,,,,,,,,,New publication series designed for quicker access to market intelligence
12658,275.0,2024.0,Seed Product Market Segment Database for CGIAR and NARES breeding,Innovation development,Quality Assessed,,,,,,,,,,,Seed Product Market Segment Database for CGIAR and NARES breeding
12659,276.0,2024.0,Set of criteria for CGIAR and NARES for the systematic,Innovation development,Quality Assessed,,,,,,,,,,,Set of criteria for CGIAR and NARES for the systematic
12660,305.0,2024.0,Potato breeding network in Latin America accelerates genetic gains for,Innovation development,Quality Assessed,,,,,,,,,,,Potato breeding network in Latin America accelerates genetic gains for
12661,309.0,2024.0,Ukama Ustawi Scaling Hub : A platform for enabling the,Innovation development,Quality Assessed,,,,,,,,,,,Ukama Ustawi Scaling Hub : A platform for enabling the
12662,340.0,2024.0,A Program Management Platform allows to align a programmatic agenda,Innovation development,Quality Assessed,,,,,,,,,,,A Program Management Platform allows to align a programmatic agenda
12663,342.0,2024.0,CGIAR center experiences with implementing faster and more accurate breeding,Innovation development,Quality Assessed,,,,,,,,,,,CGIAR center experiences with implementing faster and more accurate breeding
12664,343.0,2024.0,The Breeding Portal helps CGIAR crops to optimize pipeline structure,Innovation development,Quality Assessed,,,,,,,,,,,The Breeding Portal helps CGIAR crops to optimize pipeline structure
12665,344.0,2024.0,Successful approaches to developing farmer-and market-relevant variety identification schemes increase,Innovation development,Quality Assessed,,,,,,,,,,,Successful approaches to developing farmer-and market-relevant variety identification schemes increase
12666,345.0,2024.0,Crop-specific approaches for innovative and collaborative on-farm trialing approaches systematically,Innovation development,Quality Assessed,,,,,,,,,,,Crop-specific approaches for innovative and collaborative on-farm trialing approaches systematically
12667,346.0,2024.0,A new approach aligns genetic gain assessments of CGIAR breeding,Innovation development,Quality Assessed,,,,,,,,,,,A new approach aligns genetic gain assessments of CGIAR breeding
12668,348.0,2024.0,"Definition of the portfolio of distinct, achievable Target Product Profiles,",Innovation development,Quality Assessed,,,,,,,,,,,"Definition of the portfolio of distinct, achievable Target Product Profiles,"
12669,350.0,2024.0,The Breeding Portal captures and makes CGIAR breeding strategies transparent,Innovation development,Quality Assessed,,,,,,,,,,,The Breeding Portal captures and makes CGIAR breeding strategies transparent
12670,351.0,2024.0,Towards a partnership strategy for CGIAR collaborative breeding networks that,Innovation development,Quality Assessed,,,,,,,,,,,Towards a partnership strategy for CGIAR collaborative breeding networks that
12671,352.0,2024.0,Harmonizing standards for breeding partnerships to enhance equitable and transparent,Innovation development,Quality Assessed,,,,,,,,,,,Harmonizing standards for breeding partnerships to enhance equitable and transparent
12672,353.0,2024.0,Standardized approaches for market segment and target product profile definition,Innovation development,Quality Assessed,,,,,,,,,,,Standardized approaches for market segment and target product profile definition
12673,354.0,2024.0,Assessing national partners strengths and capacity development priorities for increasing,Innovation development,Quality Assessed,,,,,,,,,,,Assessing national partners strengths and capacity development priorities for increasing
12674,367.0,2024.0,"Aligning CGIAR breeding processes to a common, high level organizational",Innovation development,Quality Assessed,,,,,,,,,,,"Aligning CGIAR breeding processes to a common, high level organizational"
